2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,3,4
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
